key_ru	en
🌟 Все ежедневные выполнены! Бонус: +{r}.	🌟 All dailies completed! Bonus: +{r}.
🌟 Ежедневные выполнены!	🌟 Dailies completed!
🏆 Достижение «{a}»!{rstr}	🏆 Achievement «{a}»!{rstr}
⛔ Лимит добычи на час исчерпан ({cap}/час). Сброс через {min} мин.	⛔ Hourly gathering limit reached ({cap}/hour). Reset in {min} min.
❌ Недостаточно ресурсов для крафта.	❌ Not enough resources to craft.
⛔ Лимит производства на час исчерпан ({cap}/час). Сброс через {min} мин.	⛔ Hourly production limit reached ({cap}/hour). Reset in {min} min.
🔧 Создано ×{made}: {out}.{lim}	🔧 Crafted ×{made}: {out}.{lim}
лимит	limit
час	hour
осталось 0	0 left
🔧 Создано: {qty}× {res}.	🔧 Crafted: {qty}× {res}.
🔧 Создан предмет: {item}{tags}.	🔧 Item crafted: {item}{tags}.
❌ Сначала найди хотя бы одну часть этого сета в походе.	❌ First find at least one part of this set on an expedition.
❌ Недостаточно ресурсов для ковки.	❌ Not enough resources to forge.
🔥 Скована часть сета: {item} [{rar}].	🔥 Set part forged: {item} [{rar}].
❌ Нужно {gem} 💎 камней и {sparks} 🔥 искр.	❌ Need {gem} 💎 gems and {sparks} 🔥 sparks.
💎 Создан усилитель: {enh} {rom} (+{bonus} {stat}).	💎 Enhancer created: {enh} {rom} (+{bonus} {stat}).
🔒 Арендованную вещь нельзя изменять — только носить.	🔒 A rented item cannot be modified — only worn.
❌ Больше гнёзд не просверлить (макс {max} для рарности).	❌ No more sockets can be drilled (max {max} for this rarity).
❌ Нужно {cost} 🔥 искр на гнездо.	❌ Need {cost} 🔥 sparks for a socket.
🛠 Просверлено гнездо {n}/{max} в «{item}» за {cost} 🔥.	🛠 Socket {n}/{max} drilled in «{item}» for {cost} 🔥.
❌ Гнездо занято.	❌ The socket is occupied.
💎 «{gem}» вставлен в «{item}».	💎 «{gem}» inserted into «{item}».
💎 «{gem}» извлечён из «{item}».	💎 «{gem}» removed from «{item}».
🔒 Арендованную вещь нельзя точить — только носить.	🔒 A rented item cannot be enhanced — only worn.
❌ Максимальная заточка (+{max}).	❌ Maximum enhancement (+{max}).
❌ Недостаточно ресурсов для заточки.	❌ Not enough resources to enhance.
⚒️ Заточка: {item} +{plus}!	⚒️ Enhanced: {item} +{plus}!
❌ Уже максимальная рарность (Мифический).	❌ Already maximum rarity (Mythic).
❌ Недостаточно ресурсов для перековки.	❌ Not enough resources to reforge.
🔨 Перековка: {item}{plus} → [{rar}]!	🔨 Reforged: {item}{plus} → [{rar}]!
❌ Требуется {stat} {v} для «{item}» (у вас {have}).	❌ Requires {stat} {v} for «{item}» (you have {have}).
🎽 Надето: {item}.	🎽 Equipped: {item}.
❌ Нечего сохранять — экипировка пуста.	❌ Nothing to save — equipment is empty.
❌ Лимит сборок ({max}). Удалите лишнюю.	❌ Loadout limit ({max}). Delete one.
💾 Сборка «{name}» сохранена.	💾 Loadout «{name}» saved.
❌ Нет частей сета «{set}» в наличии.	❌ No parts of set «{set}» available.
🎽 Надет комплект «{set}» — лучшие части ({picked}/{total}).	🎽 Set «{set}» equipped — best parts ({picked}/{total}).
🎽 Надета сборка «{name}»{missing}.	🎽 Loadout «{name}» equipped{missing}.
предметов уже нет	items no longer exist
🗑 Сборка «{name}» удалена.	🗑 Loadout «{name}» deleted.
🔒 Арендованную вещь нельзя выбросить — верните её в арсенал.	🔒 A rented item cannot be dropped — return it to the armory.
🐾 Лимит активных питомцев ({cap}). Поднимайте навык Приручение.	🐾 Active pet limit ({cap}). Raise the Taming skill.
Отпустить питомца на волю?	Release the pet into the wild?
🐾 Питомец отпущен на волю.	🐾 The pet was released into the wild.
❌ Нужно {n} 🪙 на членский взнос.	❌ Need {n} 🪙 for the membership fee.
🔮 Вы вступили в Гильдию магов!	🔮 You joined the Mage Guild!
🔮 Сначала вступите в Гильдию магов.	🔮 First join the Mage Guild.
❌ Для вашего ранга максимум улучшения +{cap}. Поднимайте уровни стихий.	❌ For your rank the max upgrade is +{cap}. Raise your element levels.
🔮 «{spell}» улучшено до +{plus}.	🔮 «{spell}» upgraded to +{plus}.
❌ Нужен ранг «{rank}» — поднимайте уровни стихий.	❌ Rank «{rank}» required — raise your element levels.
📜 Изучено заклинание «{spell}»!	📜 Spell «{spell}» learned!
❌ Недостаточно ресурсов для починки.	❌ Not enough resources to repair.
🔧 «{item}» починено (−{gold} 🪙{sparks}).	🔧 «{item}» repaired (−{gold} 🪙{sparks}).
🪙 Недостаточно золота.	🪙 Not enough gold.
🛒 Куплено {qty}× {res} за {cost} золота.	🛒 Bought {qty}× {res} for {cost} gold.
💰 Продано {qty}× {res} за {sum} золота.	💰 Sold {qty}× {res} for {sum} gold.
🪙 Недостаточно золота на снаряжение.	🪙 Not enough gold for the gear.
🛒 Куплено снаряжение: {item} за {price} 🪙.	🛒 Gear bought: {item} for {price} 🪙.
👻 Нет Душ для обмена.	👻 No Souls to exchange.
🏛️ 1 Душа → 1000 Золота.	🏛️ 1 Soul → 1000 Gold.
🏛️ 1 Душа → 1000 Искр.	🏛️ 1 Soul → 1000 Sparks.
🪙 Недостаточно золота для ставки.	🪙 Not enough gold for the bet.
🎲 Ты {me} против {house} — победа! +{bet} 🪙	🎲 You {me} vs {house} — win! +{bet} 🪙
🎲 Ничья {me}:{house} — ставка возвращена.	🎲 Draw {me}:{house} — bet returned.
🎲 Ты {me} против {house} — проигрыш. −{bet} 🪙	🎲 You {me} vs {house} — loss. −{bet} 🪙
🥤 Шарик под №{n} — угадал! +{win} 🪙	🥤 Ball under #{n} — correct! +{win} 🪙
🥤 Шарик был под №{ball}, ты выбрал №{pick}. −{bet} 🪙	🥤 The ball was under #{ball}, you chose #{pick}. −{bet} 🪙
🪙 Билет стоит {price} золота.	🪙 A ticket costs {price} gold.
🎟️ Пусто. Удача отвернулась.	🎟️ Nothing. Luck turned away.
🎟️ Мелкий выигрыш: +50 🪙	🎟️ Small win: +50 🪙
🎟️ Неплохо: +150 🪙	🎟️ Not bad: +150 🪙
🎟️ Джекпот искр: +200 🔥	🎟️ Spark jackpot: +200 🔥
🎟️ 💎 СУПЕРПРИЗ: +1 Душа!	🎟️ 💎 SUPER PRIZE: +1 Soul!
🏘️ Пока нечего собирать — смертные ещё трудятся.	🏘️ Nothing to collect yet — the mortals are still working.
🏘️ Собран урожай нижнего мира: {str}.	🏘️ Lower World harvest collected: {str}.
🏗️ {b} достроен до уровня {lvl}!	🏗️ {b} built up to level {lvl}!
🏗️ Нельзя строить: {why}.	🏗️ Cannot build: {why}.
🏗️ Начата стройка: {b} → ур. {lvl} ({dur}). Списано {cost} 🪙.	🏗️ Construction started: {b} → lv. {lvl} ({dur}). Spent {cost} 🪙.
👻 Нужно {cost} Душ для ускорения.	👻 Need {cost} Souls to speed up.
🔒 Этот мир ещё закрыт — нужен уровень и зачистка предыдущего мира.	🔒 This world is still locked — you need the level and to clear the previous world.
{ic} PvP vs {opp}: {res}! Золото {sign}{gold}, XP +{xp}{cap}	{ic} PvP vs {opp}: {res}! Gold {sign}{gold}, XP +{xp}{cap}
победа	victory
поражение	defeat
Укажите количество	Specify the quantity
Укажите цену	Specify the price
Недостаточно ресурса	Not enough of the resource
❌ Не удалось выставить лот{lim}.	❌ Failed to list the lot{lim}.
(лимит лотов)	(lot limit)
🏷️ Лот выставлен: {qty}× {res} за {price} 🪙.	🏷️ Lot listed: {qty}× {res} for {price} 🪙.
Нельзя продать арендованное — верните в арсенал	Cannot sell a rented item — return it to the armory
🏷️ Лот выставлен: «{item}» за {price} 🪙.	🏷️ Lot listed: «{item}» for {price} 🪙.
Лот недоступен	Lot unavailable
🪙 Недостаточно золота	🪙 Not enough gold
❌ Покупка не удалась: {why}.	❌ Purchase failed: {why}.
🛍️ Куплено: {qty}× {res} за {price} 🪙.	🛍️ Bought: {qty}× {res} for {price} 🪙.
🛍️ Куплено: «{item}» за {price} 🪙.	🛍️ Bought: «{item}» for {price} 🪙.
❌ Не удалось снять лот.	❌ Failed to remove the lot.
↩️ Лот снят, возвращено {qty}× {res}.	↩️ Lot removed, {qty}× {res} returned.
↩️ Лот снят, «{item}» вернулся в рюкзак.	↩️ Lot removed, «{item}» returned to the backpack.
Название от 3 символов	Name must be at least 3 characters
🛡 Клан «{name}» основан! Списано {cost} 🪙.	🛡 Clan «{name}» founded! Spent {cost} 🪙.
❌ Не удалось вступить: {why}.	❌ Failed to join: {why}.
вы уже в клане	you are already in a clan
клан переполнен	the clan is full
клан не найден	clan not found
ошибка	error
📨 Заявка отправлена — ждите решения лидера.	📨 Application sent — await the leader's decision.
📨 Заявка отправлена	📨 Application sent
🛡 Вы вступили в клан!	🛡 You joined the clan!
❌ Не вышло: {why}.	❌ Failed: {why}.
Исключить участника из клана?	Kick this member from the clan?
Передать лидерство этому участнику? Вы станете офицером.	Transfer leadership to this member? You will become an officer.
Покинуть клан? Бонус клана пропадёт.	Leave the clan? The clan bonus will be lost.
❌ Не удалось покинуть клан.	❌ Failed to leave the clan.
🚪 Вы покинули клан.	🚪 You left the clan.
Укажите сумму	Specify the amount
❌ Взнос не прошёл.	❌ The contribution failed.
💰 Взнос в казну клана: {amount} 🪙.	💰 Contribution to the clan treasury: {amount} 🪙.
❌ Улучшение не прошло: {why}.	❌ Upgrade failed: {why}.
мало золота в казне	not enough gold in the treasury
только лидер	leader only
уже максимум	already maxed
⚜️ Клан улучшен: {name}!	⚜️ Clan upgraded: {name}!
❌ Не удалось обновить сообщение.	❌ Failed to update the message.
📢 Сообщение дня обновлено.	📢 Message of the day updated.
🔒 Арендованное вернулось владельцу: {items}.	🔒 Rented items returned to the owner: {items}.
Можно одолжить только экипировку	Only equipment can be lent
Нельзя одолжить арендованное	A rented item cannot be lent
❌ Не удалось одолжить: {why}.	❌ Failed to lend: {why}.
арсенал переполнен	the armory is full
лимит 20 вещей от вас	limit of 20 items from you
не экипировка	not equipment
📦 «{item}» выставлено в клановый арсенал.	📦 «{item}» placed in the clan armory.
Уже арендовано	Already rented
❌ Не удалось арендовать: {why}.	❌ Failed to rent: {why}.
уже арендовано	already rented
это ваша вещь	this is your item
🔑 Арендовано: «{item}» (владелец: {owner}). Можно только носить.	🔑 Rented: «{item}» (owner: {owner}). Can only be worn.
❌ Не удалось вернуть аренду.	❌ Failed to return the rental.
↩️ Аренда возвращена в арсенал.	↩️ Rental returned to the armory.
❌ Не удалось забрать вещь.	❌ Failed to retrieve the item.
📥 «{item}» возвращена в ваш инвентарь.	📥 «{item}» returned to your inventory.
Рейд недоступен	Raid unavailable
⚔️ Боссу клана нанесено {dmg} урона.	⚔️ Dealt {dmg} damage to the clan boss.
🐉 Босс клана повержен! Забери награду: Кланы → Рейд.	🐉 The clan boss is defeated! Claim your reward: Clans → Raid.
❌ Награды нет.	❌ No reward.
🎁 Награда за рейд: +{gold} 🪙, +{sparks} ✨{xp}.	🎁 Raid reward: +{gold} 🪙, +{sparks} ✨{xp}.
опыта	XP
Доступно только в Telegram	Available only in Telegram
❌ Промокод уже вводился.	❌ A promo code was already entered.
⌛ Окно ввода промокода (7 дней) истекло.	⌛ The promo code window (7 days) has expired.
Введите промокод	Enter a promo code
❌ Неверный промокод.	❌ Invalid promo code.
❌ Нельзя ввести свой промокод.	❌ You cannot enter your own promo code.
🎁 Промокод принят! +500 🪙 и +100 🔥. Пригласившему начислится награда при синхронизации.	🎁 Promo code accepted! +500 🪙 and +100 🔥. The inviter will be rewarded on sync.
🎁 Промокод принят: +500 🪙, +100 🔥	🎁 Promo code accepted: +500 🪙, +100 🔥
📋 Промокод скопирован: 	📋 Promo code copied: 
Промокод: 	Promo code: 
🔗 Ссылка скопирована!	🔗 Link copied!
📘 Навык «{skill}» вырос до {n}!	📘 Skill «{skill}» grew to {n}!
📈 {stat} выросла до {v}!	📈 {stat} grew to {v}!
📈 {icon} {prof}: уровень {lvl} ({title})!	📈 {icon} {prof}: level {lvl} ({title})!
📜 Тайное знание: изучен рецепт «{rec}»!	📜 Secret knowledge: recipe «{rec}» learned!
🎉 Новый уровень {lvl}! Полное восстановление и +{n} 🔥 искр.	🎉 New level {lvl}! Full restore and +{n} 🔥 sparks.
⚠️ «{item}» сломалось — почините, чтобы вернуть свойства.	⚠️ «{item}» broke — repair it to restore its properties.
🎁 Бонус от рефералов: +{n} 🪙	🎁 Referral bonus: +{n} 🪙
💰 Выручка с барахолки: +{n} 🪙	💰 Marketplace earnings: +{n} 🪙
🐾 Приручён питомец: {pet}{active}.	🐾 Pet tamed: {pet}{active}.
(в строю)	(in party)
🏆 Победа над: {mobs}.	🏆 Victory over: {mobs}.
☠️ Поражение в бою{lost}.	☠️ Defeated in battle{lost}.
золота	gold
Ассасин	Assassin
Берсерк	Berserker
Воин	Warrior
Лучник	Archer
Паладин	Paladin
Танк	Tank
Шелест трав и пение птиц… но мелкие твари ходят стаями.	Rustling grass and birdsong… but small critters roam in packs.
Любимое место охотников. Дичи всё меньше — виной непослушная молодёжь.	Hunters' favorite spot. Game grows scarce — blame the unruly youth.
Тёмный сырой лабиринт с ископаемыми и негостеприимными сущностями.	A dark, damp labyrinth with fossils and inhospitable creatures.
Бивни скал, живописные пейзажи и вечно голодные звери.	Fangs of rock, scenic views and ever-hungry beasts.
Ни воды, ни растений — у самой природы стервозный характер.	No water, no plants — nature itself has a vicious temper.
Ядовитые растения, трясины, москиты и незабываемая вонь.	Poisonous plants, swamps, mosquitoes and an unforgettable stench.
Запаситесь воздухом и смажьте доспехи, чтоб не заржавели.	Stock up on air and oil your armor so it does not rust.
Скелеты и зомби — мелочь, а вот вампир или некромант — достойный противник.	Skeletons and zombies are small fry, but a vampire or necromancer is a worthy foe.
За каждым камнем — толстокожие огнеупорные твари, мечтающие о свежем мясце.	Behind every rock lurk thick-skinned, fireproof beasts dreaming of fresh meat.
Мир необычайной красоты, но внешность бывает обманчива.	A world of extraordinary beauty, but looks can be deceiving.
Родной дом самых страшных и извращённых существ. Сюда не стоит попадать даже после смерти.	Home to the most terrible and twisted beings. A place to avoid even after death.
То место, куда все стремятся. Но непрошеных гостей ждут муки, рядом с которыми сатана — дилетант.	The place everyone aspires to. But uninvited guests face torments next to which Satan is an amateur.
О мире и валютах	About the World and Currencies
Статы (9 характеристик)	Stats (9 attributes)
Уровень, опыт и «опасность»	Level, experience and «danger»
Бой	Combat
Магия (4 стихии × 3 направления)	Magic (4 elements × 3 directions)
Мастерские, крафт и топливо	Workshops, crafting and fuel
Алхимия (Лаборатории)	Alchemy (Laboratory)
Рарность, классовые сеты и сборки	Rarity, class sets and loadouts
Походы и миры	Expeditions and Worlds
Бестиарий (мобы по мирам)	Bestiary (mobs by world)
Квесты (Совет старейшин)	Quests (Council of Elders)
Здания Вавилонской башни	Buildings of the Babylon Tower
Банк и монетизация	Bank and Monetization
Стихия	Element
к статам	to stats
Снаряжение	Equipment
«Вавилон» — мир из двух частей, соединённых башней-цитаделью. Игроки приходят как полубоги.	«Babylon» is a world of two parts joined by a citadel-tower. Players arrive as demigods.
Нижний мир — мир смертных (стратегия и ресурсы), верхний — нестабильные локации (РПГ-походы). Вавилонская башня в центре — ваш дом и хаб.	The Lower World is the realm of mortals (strategy and resources), the upper one is unstable locations (RPG expeditions). The Babylon Tower at the center is your home and hub.
Три особые валюты:	Three special currencies:
🪙 <b>Золото</b> — игровые деньги: покупки в магазине, торговля.	🪙 <b>Gold</b> — in-game money: shop purchases, trading.
🔥 <b>Искры</b> — «божественные искры» для крафта и заточки. Добываются в верхнем мире (походы): чем глубже тир локации, тем активнее сыплются.	🔥 <b>Sparks</b> — «divine sparks» for crafting and enhancing. Mined in the upper world (expeditions): the deeper the location tier, the more they pour in.
💎 <b>Камни</b> (самоцветы для усилителей) тоже добываются в верхнем мире — выпадают с боёв, и тем чаще, чем глубже тир. В магазине есть, но дорого.	💎 <b>Gems</b> (stones for enhancers) are also mined in the upper world — they drop from fights, more often at deeper tiers. Available in the shop, but expensive.
У героя 9 характеристик. Каждая растёт от использования по геометрической прогрессии (планка 100 → 200 → 400…). Прогресс виден полосками в Покоях героя.	The hero has 9 attributes. Each grows from use along a geometric progression (threshold 100 → 200 → 400…). Progress is shown by bars in the Hero's Chambers.
Есть две прокачки, и они дополняют друг друга:	There are two progression tracks, and they complement each other:
<b>Уровень</b> — классический, растёт от опыта за бои (зелёная полоска в шапке). За новый уровень: полное восстановление HP/MP и награда искрами. Планка следующего уровня: 100 → 175 → 250…	<b>Level</b> — classic, grows from combat experience (green bar at the top). Each new level: full HP/MP restore and a spark reward. Next level threshold: 100 → 175 → 250…
<b>Опасность</b> — боевая мощь героя, считается из суммы статов. Влияет на силу тренировочного двойника на Арене.	<b>Danger</b> — the hero's combat power, computed from the sum of stats. Affects the strength of the training double in the Arena.
Опыт капает за убитых мобов (больше за старшие миры, ×3 за боссов).	Experience drips in for slain mobs (more for higher worlds, ×3 for bosses).
Бой пораундовый. Каждый раунд вы выбираете зону атаки и зону блока (голова, торс, руки, ноги), либо кастуете заклинание, либо пьёте эликсир, либо бежите.	Combat is round-based. Each round you choose an attack zone and a block zone (head, torso, arms, legs), or cast a spell, drink an elixir, or flee.
Если враг бьёт в зону, которую вы заблокировали — урон режется.	If the enemy hits a zone you blocked — the damage is reduced.
Возможны криты (Ярость — физ., Вера — маг.) и контрудары (Реакция — физ., Отражение — маг.).	Crits are possible (Fury — phys., Faith — magic) and counters (Reaction — phys., Reflection — magic).
Удача повышает шанс макс. урона и ценных трофеев.	Luck increases the chance of max damage and valuable loot.
Поражение не убивает насовсем — вы возвращаетесь в башню ослабленным (HP ~30%) и теряете 10% золота.	Defeat is not permanent — you return to the tower weakened (HP ~30%) and lose 10% of your gold.
Сложность локации (75–200%) — ваш регулятор челленджа. Высокие миры без прокачки непроходимы: качайтесь и улучшайте снаряжение.	Location difficulty (75–200%) is your challenge dial. High worlds are impassable without progression: level up and improve your gear.
Тренироваться без риска можно на Арене (бой с тёмным двойником).	You can train risk-free in the Arena (a fight against your dark double).
(свет и тьма частично взаимоисключающие, сумрак нейтрален). Каст повышает уровень стихии, направления и Интеллект.	(light and dark are partly mutually exclusive, twilight is neutral). Casting raises the level of the element, the direction and Intellect.
<b>Где смотреть свои заклинания:</b> Покои героя → блок «Магия». <b>Как применять:</b> только в бою — выпадающий список «Заклинание» → «✨ Каст». Новые заклинания (формулы) иногда выпадают трофеем из мобов.	<b>Where to view your spells:</b> Hero's Chambers → «Magic» block. <b>How to use:</b> only in combat — the «Spell» dropdown → «✨ Cast». New spells (formulas) sometimes drop as loot from mobs.
Ресурсы делятся на уровни. 1 уровень добывается руками/в боях, 2 уровень производится в мастерских.	Resources are split into tiers. Tier 1 is gathered by hand / in combat, tier 2 is produced in workshops.
<b>1 уровень:</b>	<b>Tier 1:</b>
<b>2 уровень:</b>	<b>Tier 2:</b>
<b>Особые:</b> 🪙 Золото, 👻 Души, 🔥 Искры	<b>Special:</b> 🪙 Gold, 👻 Souls, 🔥 Sparks
Добыть ресурсы 1 уровня: Нижний мир → «Добыть руками» (бесплатно), пассивная добыча построек смертных, покупка за золото в Магазине; ещё они падают трофеями в боях.	To obtain tier 1 resources: Lower World → «Gather by hand» (free), passive gathering from mortal buildings, buying for gold in the Shop; they also drop as loot in combat.
В Мастерских ресурсы 1 уровня перерабатываются во 2 уровень, а из них создаются оружие, броня и бижутерия.	In Workshops, tier 1 resources are processed into tier 2, from which weapons, armor and jewelry are crafted.
<b>Что такое топливо.</b> Это не отдельная кнопка, а ресурс — древесный уголь или брёвна. Оно тратится автоматически при создании вещей, которым нужна высокая температура. Правило:	<b>What is fuel.</b> It is not a separate button but a resource — charcoal or logs. It is spent automatically when crafting items that need high heat. The rule:
<b>1 топливо = 1 древесный уголь</b> (даёт закалку, +качество предмета), <b>или</b>	<b>1 fuel = 1 charcoal</b> (tempers the item, +quality), <b>or</b>
<b>1 топливо = 6 брёвен</b> (если угля нет; качество обычное).	<b>1 fuel = 6 logs</b> (if there is no charcoal; ordinary quality).
<b>Где взять:</b> брёвна — Магазин → «Срубить дерево»; уголь — Мастерские → «Переработка ресурсов» → «Древесный уголь» (5 брёвен → 1 уголь).	<b>Where to get it:</b> logs — Shop → «Chop wood»; charcoal — Workshops → «Resource processing» → «Charcoal» (5 logs → 1 charcoal).
<b>Цепочка для оружия/брони:</b> брёвна → (уголь) и руда → металл → сам предмет (металл + доска + искры + топливо).	<b>Chain for weapons/armor:</b> logs → (charcoal) and ore → metal → the item itself (metal + plank + sparks + fuel).
Алхимия делится на три вида:	Alchemy is divided into three kinds:
<b>Эликсиры</b> — применяются в бою (восстанавливают HP или MP).	<b>Elixirs</b> — used in combat (restore HP or MP).
<b>Зелья</b> — бросаются во врага, наносят урон.	<b>Potions</b> — thrown at the enemy, deal damage.
<b>Мази</b> — применяются вне боя, дают временные усиления.	<b>Balms</b> — used outside combat, give temporary buffs.
Создаются в Лабораториях из трав, грибов и слюды. Эликсиры/зелья используются прямо в окне боя.	Crafted in Laboratories from herbs, mushrooms and mica. Elixirs/potions are used right in the combat window.
Слоты: оружие, шлем, доспех, щит, кольцо, амулет, серьги. Надеть вещь можно в Покоях героя (кнопка «надеть»), если хватает требуемых статов.	Slots: weapon, helmet, armor, shield, ring, amulet, earrings. You can equip an item in the Hero's Chambers (the «equip» button) if you meet the required stats.
<b>Оружие</b> — урон, дистанция (ближняя/средняя/дальняя), одноручное/двуручное.	<b>Weapon</b> — damage, range (melee/mid/ranged), one-handed/two-handed.
<b>Броня</b> — лёгкая/средняя/тяжёлая, добавляет защиту и броню.	<b>Armor</b> — light/medium/heavy, adds defense and armor.
<b>Бижутерия</b> — не даёт физзащиты, но усиливает статы (энергетический сосуд).	<b>Jewelry</b> — gives no physical defense but boosts stats (an energy vessel).
Уголь при ковке повышает качество (прочность/урон/защиту).	Charcoal during forging improves quality (durability/damage/defense).
<b>Рарность.</b> Снаряжение бывает разной редкости — она множит характеристики предмета. Чем выше уровень героя и сложность похода, тем больше шанс высокой рарности (на 200% выпадают самые редкие).	<b>Rarity.</b> Gear comes in different rarities — rarity multiplies an item's stats. The higher the hero's level and expedition difficulty, the greater the chance of high rarity (the rarest drop at 200%).
<b>Классовые сеты.</b> 7 комплектов по классам, каждый из 5 предметов. Части одного сета выпадают по отдельности и могут быть разной рарности.	<b>Class sets.</b> 7 sets by class, each of 5 items. Parts of a set drop separately and can be of different rarity.
<b>Сет-бонусы.</b> За надетые части одного комплекта (2 / 4 / полный) даются бонусы к статам и боевым параметрам — независимо от рарности частей. Прогресс виден в Покоях героя и в разделе «Коллекция» (Кодекс).	<b>Set bonuses.</b> Equipping parts of one set (2 / 4 / full) grants bonuses to stats and combat parameters — regardless of the parts' rarity. Progress is shown in the Hero's Chambers and in the «Collection» section (Codex).
<b>Кузница сетов</b> (в Мастерских): найдя хотя бы одну часть сета, можно сковать остальные его части за ресурсы, а также перековать предмет на более высокую рарность за ресурсы и Души.	<b>Set forge</b> (in Workshops): once you have at least one part of a set, you can forge its remaining parts for resources, and also reforge an item to a higher rarity for resources and Souls.
<b>Сборки экипировки</b> (в Покоях героя): сохрани текущий комплект под именем и переключайся между сборками одним кликом — удобно держать, например, отдельные комплекты мага и воина.	<b>Loadouts</b> (in the Hero's Chambers): save your current set under a name and switch between loadouts with one click — handy for keeping, say, separate mage and warrior kits.
Через «Лестницу в Небо» можно отправиться в один из 12 миров. У каждой локации — свои мобы и уровень сложности (75% — мобы слабее на 25%, 200% — вдвое сильнее).	Through the «Stairway to Heaven» you can set out into one of 12 worlds. Each location has its own mobs and difficulty level (75% — mobs are 25% weaker, 200% — twice as strong).
Награда за победу: опыт, золото, искры, ресурсы-трофеи и иногда формулы заклинаний.	Reward for victory: experience, gold, sparks, loot resources and sometimes spell formulas.
Каждому мобу присваиваются свои параметры — даже одинаковые по названию твари из разных миров отличаются. Боссы (помечены ⭐) крупнее и дают лучший лут.	Each mob is assigned its own parameters — even same-named creatures from different worlds differ. Bosses (marked ⭐) are larger and give better loot.
Задания берутся в Совете старейшин. У многих есть «градиент» — они повторяются с растущей целью (например, убить 10 / 100 / 1000 мобов). За каждый этап — награда.	Quests are taken at the Council of Elders. Many have a «gradient» — they repeat with a growing goal (e.g., kill 10 / 100 / 1000 mobs). Each stage gives a reward.
В Банке можно обменять Души (премиум-валюту) на Золото или Искры.	At the Bank you can exchange Souls (premium currency) for Gold or Sparks.
По задумке GDD монетизация — это премиум-аккаунт, благословения, артефакты, кланы/семьи, барахолка, налоги и комиссии, а главная фишка — свободный ввод и вывод средств. В прототипе из этого реализован обмен Душ; остальное — на будущее.	Per the GDD, monetization means a premium account, blessings, artifacts, clans/families, the marketplace, taxes and fees, with the key feature being free deposit and withdrawal of funds. In the prototype only the Soul exchange is implemented; the rest is for the future.
Оружие	Weapon
Шлем	Helmet
Доспех	Armor
Щит	Shield
Кольцо	Ring
Амулет	Amulet
Серьги	Earrings
Доспехи	Armor
Бижутерия	Jewelry
Расходники	Consumables
Усилители (огранка)	Enhancers (cutting)
Коллекция	Collection
Коллекция сетов	Set collection
мобов	mobs
предм.	items
полный	full
с мира	from world
макс.	max
слот:	slot:
⛏️ Добыча	⛏️ Gathering
🔧 Производство	🔧 Production
осталось	left
из	of
сброс через	reset in
мин	min
название (напр. Воин)	name (e.g. Warrior)
Сохранить текущую	Save current
зачистить мир «{w}» (победить всех его мобов)	clear the world «{w}» (defeat all its mobs)
Огранка усилителей: 💎 камень + 🔥 искры. Готовый камень вставляется в гнездо снаряжения (гнёзда сверлятся за 🔥, число — по рарности).	Cutting enhancers: 💎 gem + 🔥 sparks. The finished stone is inserted into an equipment socket (sockets are drilled for 🔥, the number depends on rarity).
✓ зачищен · ⚔️ доступен · 🔒 закрыт. Миры открываются по уровню и только после зачистки предыдущего. Сложность 75% — мобы слабее, 200% — вдвое сильнее.	✓ cleared · ⚔️ available · 🔒 locked. Worlds unlock by level and only after clearing the previous one. Difficulty 75% — mobs are weaker, 200% — twice as strong.
+10% уклонение, +4 Ловкости	+10% dodge, +4 Agility
+10% урон в дальнем бою	+10% ranged damage
+10% физ. крит	+10% phys. crit
+12 брони, +4 Выносливости	+12 armor, +4 Endurance
+12% маг. крит	+12% magic crit
+12% сила заклинаний	+12% spell power
+12% урон и +8% физ. крит	+12% damage and +8% phys. crit
+12% шанс макс. урона, +4 Ярости	+12% max damage chance, +4 Fury
+15% урон и +8 реген HP (исцеление аурой)	+15% damage and +8 HP regen (aura healing)
+15% физ. и маг. контрудар	+15% phys. and magic counter
+15% физ. крит и +10% макс. урон	+15% phys. crit and +10% max damage
+16 брони, +4 Реакции	+16 armor, +4 Reaction
+18% сила заклинаний и +60 макс. маны	+18% spell power and +60 max mana
+22% урон, но −8 брони (риск/награда)	+22% damage, but −8 armor (risk/reward)
+6 реген маны, +4 Интеллект	+6 mana regen, +4 Intellect
+8% уклонение, +4 Ловкости	+8% dodge, +4 Agility
+8% урон в ближнем бою	+8% melee damage
+80 HP, +5 Веры, +3 Силы	+80 HP, +5 Faith, +3 Strength
+80 макс. HP	+80 max HP
+большой шанс ценного трофея и +10% макс. урон	+high chance of valuable loot and +10% max damage
тег	tag
кол-во	qty
цена 🪙	price 🪙
сумма 🪙	amount 🪙
название	name
👻 Души	👻 Souls
🗡️ Удар	🗡️ Strike
🔒 закрыт	🔒 locked
🛡️ Кланы	🛡️ Clans
✅ получен	✅ received
✅ получено	✅ received
исключить	kick
📥 забрать	📥 retrieve
Приглашено	Invited
Приглашено:	Invited:
🥤 Напёрстки	🥤 Thimbles
🐾 приручить	🐾 tame
📦 Накоплено:	📦 Accumulated:
💀 Поражений:	💀 Defeats:
🔨 Мастерские	🔨 Workshops
🔑 арендовать	🔑 rent
🧝 Покои героя	🧝 Hero's Chambers
💰 Казна клана	💰 Clan treasury
